txn_id,timestamp,amount,bank,hour,previous_failures,is_subscription,days_since_last_success,failure_reason,would_retry_succeed
txn_421879,2026-07-24T01:36:41.566584,1013.89,SBI,7,1,0,24,risk_block,1
txn_358795,2026-08-12T01:36:41.566662,520.52,YesBank,5,0,1,33,bank_timeout,1
txn_655839,2026-09-03T01:36:41.566715,1418.38,ICICI,15,0,0,62,insufficient_funds,1
txn_305041,2026-08-28T01:36:41.566760,121.5,Kotak,18,1,0,18,issuer_down,0
txn_559773,2026-08-31T01:36:41.566803,1363.97,Axis,7,0,1,36,insufficient_funds,0
txn_323165,2026-08-01T01:36:41.566926,189.4,YesBank,9,1,0,18,otp_failed,0
txn_532315,2026-07-23T01:36:41.567064,1306.87,YesBank,22,1,1,53,risk_block,0
txn_748663,2026-08-26T01:36:41.567108,720.49,HDFC,14,0,0,9,otp_failed,1
txn_475713,2026-08-04T01:36:41.567159,1173.94,SBI,0,1,1,41,issuer_down,0
txn_301664,2026-08-02T01:36:41.567222,232.28,IDFC,22,1,0,44,risk_block,0
txn_222409,2026-08-24T01:36:41.567291,879.82,HDFC,4,1,1,27,bank_timeout,1
txn_298286,2026-07-25T01:36:41.567349,305.71,SBI,6,0,0,4,network_error,1
txn_125939,2026-08-07T01:36:41.567391,3307.89,Axis,1,1,0,6,bank_timeout,1
txn_554589,2026-08-24T01:36:41.567431,1429.27,YesBank,10,0,0,62,insufficient_funds,1
txn_693128,2026-08-25T01:36:41.567470,37.04,Kotak,0,0,0,59,bank_timeout,1
txn_737147,2026-08-14T01:36:41.567528,865.06,YesBank,6,0,0,56,insufficient_funds,0
txn_722794,2026-08-20T01:36:41.567671,993.91,SBI,1,1,0,70,insufficient_funds,0
txn_122671,2026-08-04T01:36:41.567719,458.53,IDFC,5,0,0,70,bank_timeout,0
txn_242483,2026-08-05T01:36:41.567795,619.87,Kotak,2,1,0,19,otp_failed,0
txn_108155,2026-08-12T01:36:41.567837,171.24,IDFC,19,3,0,39,issuer_down,1
txn_475037,2026-08-25T01:36:41.567876,746.9,ICICI,2,0,0,60,bank_timeout,0
txn_630583,2026-08-04T01:36:41.567916,132.2,Kotak,4,2,0,19,otp_failed,0
txn_743409,2026-09-04T01:36:41.567966,294.7,Axis,5,1,0,25,insufficient_funds,1
txn_580047,2026-08-17T01:36:41.568010,768.06,YesBank,2,1,0,33,insufficient_funds,0
txn_500109,2026-08-07T01:36:41.568052,2465.94,SBI,16,0,0,59,bank_timeout,1
txn_460032,2026-08-09T01:36:41.568099,278.31,YesBank,5,0,1,27,bank_timeout,1
